Date,Page Title,Age,Gender,Source / Medium,Pageviews,Unique Pageviews
20190618,Jennifer Aniston Wore the Wedge-Heel Shoe Trend | Who What Wear,45-54,female,m.facebook.com / referral,9292,8163
20190624,5 Outdated Spring Fashion Trendsâ€”and Their Successors | Who What Wear,25-34,female,newsletter / email,9286,7424
20190606,These Stylish Summer Outfits Are Surprisingly Affordable | Who What Wear,25-34,female,m.facebook.com / referral,9274,7733
20190606,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,facebook.com / social,9219,8051
20190606,The 5 Summer Handbag Trends We're Already Seeing Everywhere | Who What Wear,25-34,female,newsletter / email,9064,7529
20190619,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,45-54,female,m.facebook.com / referral,9025,8127
20190612,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,m.facebook.com / referral,9008,8088
20190613,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,55-64,female,m.facebook.com / referral,8853,8215
20190614,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,45-54,female,m.facebook.com / referral,8787,8045
20190611,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,25-34,female,m.facebook.com / referral,8734,7606
20190610,The 7 Most Important Summer Fashion Trends of 2019 | Who What Wear,55-64,female,m.facebook.com / referral,8729,7617
20190623,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,8718,7322
20190620,The Best Miami Summer Trends for Under $100 | Who What Wear,35-44,female,m.facebook.com / referral,8484,7065
20190616,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,45-54,female,m.facebook.com / referral,8481,6656
20190626,7 Outdated Sandal Trends We're Splitting Up With | Who What Wear,25-34,female,newsletter / email,8387,7063
20190621,6 Items an Over-50 Fashion Influencer Wears on Repeat | Who What Wear,55-64,female,newsletter / email,8266,6229
20190607,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,m.facebook.com / referral,8225,7466
20190623,Summer Wedding Makeup | Who What Wear,25-34,female,m.facebook.com / referral,8184,7222
20190616,11 of the Best Nontoxic Beauty Productsâ€”and What to Avoid | Who What Wear,25-34,female,m.facebook.com / referral,8178,6467
20190610,The 7 Most Important Summer Fashion Trends of 2019 | Who What Wear,25-34,female,m.facebook.com / referral,8166,6841
20190605,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,25-34,female,m.facebook.com / referral,8152,7427
20190603,6 Clothing Basics Women Over 50 Never Forget to Buy | Who What Wear,55-64,female,newsletter / email,8073,6468
20190626,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,8050,6736
20190625,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,7993,6761
20190605,Jennifer Lopez Wore a Belted Blazer With Skinny Jeans | Who What Wear,55-64,female,m.facebook.com / referral,7856,7216
20190621,6 Items an Over-50 Fashion Influencer Wears on Repeat | Who What Wear,45-54,female,newsletter / email,7823,5719
20190609,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,m.facebook.com / referral,7801,6975
20190605,These Stylish Summer Outfits Are Surprisingly Affordable | Who What Wear,25-34,female,m.facebook.com / referral,7780,6625
20190613,The Best Ways to Apply Blush for Every Face Shape | Who What Wear UK,35-44,female,m.facebook.com / referral,7716,6679
20190606,Summer Beauty Buys | Who What Wear,25-34,female,m.facebook.com / referral,7708,6792
20190610,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,45-54,female,m.facebook.com / referral,7546,6729
20190620,5 Swim Trends Fashion Editors Are Here Forâ€”and 3 They're Not | Who What Wear,25-34,female,newsletter / email,7460,6192
20190618,6 Makeup Tips for Women Over 40 From a Makeup Artist | Who What Wear,35-44,female,m.facebook.com / referral,7426,6591
20190618,20 Affordable Summer Dresses to Add to Cartâ€”All Under $45 | Who What Wear,25-34,female,newsletter / email,7402,5908
20190611,The 12 Best Brands for Wardrobe Basics Over 50 | Who What Wear,55-64,female,newsletter / email,7344,5854
20190627,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,7246,6125
20190613,Jennifer Lopez Wore 2019's Biggest Grandma Trend | Who What Wear,25-34,female,m.facebook.com / referral,7241,6624
20190625,Summer Wedding Makeup | Who What Wear,25-34,female,m.facebook.com / referral,7223,6495
20190604,The 19 Best Shopping Picks for May 2019 | Who What Wear,35-44,female,newsletter / email,7195,5920
20190624,Summer Wedding Makeup | Who What Wear,25-34,female,m.facebook.com / referral,7171,6434
20190609,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,25-34,female,m.facebook.com / referral,7148,6207
20190614,How to Look Cooler in Summer 2019 | Who What Wear,25-34,female,newsletter / email,7130,5409
20190608,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,55-64,female,m.facebook.com / referral,7115,6406
20190608,We Tried On the 13 Biggest Summer Trends at Zara | Who What Wear,35-44,female,m.facebook.com / referral,7083,6122
20190608,Chrissy Teigen Wore the Pleated-Jean Trend | Who What Wear,35-44,female,facebook.com / social,7015,5992
20190605,6 Summer Trends That Have Anna Wintour's Approval | Who What Wear,25-34,female,newsletter / email,7008,5437
20190624,The Best Miami Summer Trends for Under $100 | Who What Wear,25-34,female,m.facebook.com / referral,6967,6020
20190619,5 Simple Summer Outfits You'll Wear on Repeat | Who What Wear,25-34,female,newsletter / email,6947,5734
20190624,Meghan Markle Updated Her Engagement Ringâ€”See the Photos | Who What Wear,55-64,female,from.flipboard.com / referral,6890,4540
